code," eng_desc"," viet_desc"," image"," alternative_code"
BC958R,"POTTS-SMITH SUPERCUT Vascular Scissors, angled, 45 °, wave cut, sharp/sharp, 185 mm (7 1/4"")","Kéo vi phẫu mạch máu Potts-Smith Supercut, gập góc 45°, lưỡi gợn sóng, mũi nhọn/nhọn, dài 185mm",https://products.api.bbraun.io/api/image/BC958R?countryISOCode=01,99-999-99-99
BC959R,"POTTS-SMITH SUPERCUT Vascular Scissors, angled, 60 °, wave cut, sharp/sharp, 180 mm (7"")","Kéo vi phẫu mạch máu Potts-Smith Supercut, gập góc 60°, lưỡi gợn sóng, mũi nhọn/nhọn, dài 180mm",https://products.api.bbraun.io/api/image/BC959R?countryISOCode=01,99-999-99-99
BC970R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: red, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu đỏ, dài 145mm",https://products.api.bbraun.io/api/image/BC970R?countryISOCode=01,21-209-15-01
BC971R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: blue, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu xanh da trời, dài 145mm",https://products.api.bbraun.io/api/image/BC971R?countryISOCode=01,21-209-15-01
BC973R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: yellow, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu vàng, dài 145mm",https://products.api.bbraun.io/api/image/BC973R?countryISOCode=01,21-209-15-01
BC975R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: orange, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu da cam, dài 145mm",https://products.api.bbraun.io/api/image/BC975R?countryISOCode=01,21-209-15-01
BC977R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: pink, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu hồng, dài 145mm",https://products.api.bbraun.io/api/image/BC977R?countryISOCode=01,21-209-15-01
BC978R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: light green, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu xanh lá cây, dài 145mm",https://products.api.bbraun.io/api/image/BC978R?countryISOCode=01,21-209-15-01
BC979R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: violet, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu tím, dài 145mm",https://products.api.bbraun.io/api/image/BC979R?countryISOCode=01,21-209-15-01
BC980R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: red, plastic handles, 1 large ring","Kéo cắt băng vải gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu đỏ, một cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC980R?countryISOCode=01,21-209-18-01
BC981R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: blue, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu xanh da trời, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC981R?countryISOCode=01,21-209-18-01
BC983R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: yellow, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu vàng, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC983R?countryISOCode=01,21-209-18-01
BC985R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: orange, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu cam, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC985R?countryISOCode=01,21-209-18-01
BC987R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: pink, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu hồng, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC987R?countryISOCode=01,21-209-18-01
BC988R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: light green, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu xanh lá cây, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC988R?countryISOCode=01,21-209-18-01
BC989R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: violet, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu tím, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC989R?countryISOCode=01,21-209-18-01
BD023R,"Dressing Forceps (Tweezers), straight, medium, 115 mm (4 1/2""), jaw width 1.90 mm, serrated","Nhíp phẫu tích, thẳng, loại nhỡ, ngàm có khía, dài 115mm",https://products.api.bbraun.io/api/image/BD023R?countryISOCode=01,12-120-11-07
BD025R,"Dressing Forceps (Tweezers), straight, medium, 130 mm (5 1/8""), jaw width 2 mm, serrated","Nhíp phẫu tích, thẳng, loại nhỡ, ngàm có khía, dài 130mm",https://products.api.bbraun.io/api/image/BD025R?countryISOCode=01,12-120-13-07
BD027R,"Dressing Forceps (Tweezers), straight, medium, 145 mm (5 3/4""), jaw width 2.30 mm, serrated","Kẹp phẫu tích, thẳng, loại nhỡ, dài 145mm",https://products.api.bbraun.io/api/image/BD027R?countryISOCode=01,12-120-14-07
BD029R,"Dressing Forceps (Tweezers), straight, medium, 160 mm (6 1/4""), jaw width 2.60 mm, serrated","Nhíp phẫu tích, thẳng, loại nhỡ, ngàm có khía, dài 160mm",https://products.api.bbraun.io/api/image/BD029R?countryISOCode=01,12-120-16-07
BD030R,"Dressing Forceps (Tweezers), straight, medium, 180 mm (7""), jaw width 2.60 mm, serrated","Nhíp phẫu tích, thẳng, loại nhỡ, ngàm có khía, dài 180mm",https://products.api.bbraun.io/api/image/BD030R?countryISOCode=01,12-120-18-07
BD031R,"Dressing Forceps (Tweezers), straight, medium, 200 mm (7 7/8""), jaw width 2.60 mm, serrated","Nhíp phẫu tích, thẳng, loại nhỡ, ngàm có khía, dài 200mm",https://products.api.bbraun.io/api/image/BD031R?countryISOCode=01,12-120-20-07
BD032R,"Dressing Forceps (Tweezers), straight, medium, 250 mm (9 3/4""), jaw width 2.70 mm, serrated","Nhíp phẫu tích, thẳng, loại nhỡ, ngàm có khía, dài 250mm",https://products.api.bbraun.io/api/image/BD032R?countryISOCode=01,12-120-25-07
