code,viet,eng,alternative,brand
AA804R,"Thước đo, thép không gỉ, dài 150mm, chia độ đến mm và inches","Ruler, 150 mm (6""), graduated in mm and inches",17-412-15-07,B-Braun
AA805R,"Thước đo bằng thép không gỉ, dài 300mm, chia độ đến mm và inches","Ruler, 300 mm (11 3/4""), graduated in mm and inches",17-412-30-07,B-Braun
AA806R,"Thước đo bằng thép không gỉ, dài 500mm, chia độ đến mm và inches","Ruler, 500 mm (19 3/4""), graduated in mm and inches",17-412-50-07,B-Braun
AA808R,"Thước sử dụng trong X-quang, dài 500mm, chia độ đến 0,5 cm","X-Ray Ruler, 500 mm (19 3/4""), graduated in 0.5 cm",99-999-99-99,B-Braun
AA845R,None,None,48-370-26-07,B-Braun
AA846R,"Thước đo đường kính trong và ngoài, dài 230mm, có thể đo tới 150mm","Caliper, 240 mm (9 1/2""), open. width: 190 mm, measuring range up to 190 mm",09-004-64-07,B-Braun
AA847R,"Thước đo đường kính trong và ngoài, dài 130mm, có thể đo tới 100mm","Caliper, 130 mm (5 1/8""), open. width: 100 mm, measuring range up to 100 mm",99-999-99-99,B-Braun
AC468R,"Gương soi thanh quản, số 000, dài 120mm, đường kính 6mm",None,99-999-99-99,B-Braun
AC469R,"Gương soi thanh quản, số 00, dài 120mm, đường kính 8mm",None,39-786-08-04,B-Braun
AC470R,"Gương soi thanh quản, số 0, dài 120mm, đường kính 10mm",None,39-786-10-04,B-Braun
AC471R,"Gương soi thanh quản, số 1, dài 120mm, đường kính 12mm",None,39-786-12-04,B-Braun
AC472R,"Gương soi thanh quản, số 2, dài 120mm, đường kính 14mm",None,39-786-14-04,B-Braun
AC473R,"Gương soi thanh quản, số 3, dài 120mm, đường kính 16mm",None,39-785-16-01,B-Braun
AC474R,"Gương soi thanh quản, số 4, dài 120mm, đường kính 18mm",None,39-785-18-01,B-Braun
AC475R,"Gương soi thanh quản, số 5, dài 120mm, đường kính 20mm",None,39-785-20-01,B-Braun
AC476R,"Gương soi thanh quản, số 6, dài 120mm, đường kính 22mm",None,39-785-22-01,B-Braun
AC477R,"Gương soi thanh quản, số 7, dài 120mm, đường kính 24mm",None,39-785-24-01,B-Braun
AC478R,"Gương soi thanh quản, số 8, dài 120mm, đường kính 26mm",None,39-785-26-01,B-Braun
AC479R,"Gương soi thanh quản, số 9, dài 120mm, đường kính 28mm",None,39-785-28-01,B-Braun
AC480R,"Gương soi thanh quản, số 10, dài 120mm, đường kính 30mm",None,39-786-30-04,B-Braun
AC481R,"Cán gương soi thanh quản, sử dụng cùng AC468R - AC480R, dài 110mm",None,39-794-11-02,B-Braun
AC483C,None,None,39-798-12-02,B-Braun
AC497R,None,None,39-789-12-02,B-Braun
AC498R,None,None,39-789-14-02,B-Braun
AD110R,Thước đo góc,"Goniometer, 145 mm (5 3/4"")",17-408-01-07,B-Braun
AD123R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 33mm","STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 33 mm, jaw: toothed",09-006-47-07,B-Braun
AD125R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 38mm","STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 38 mm, jaw: toothed",09-006-49-07,B-Braun
AD127R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 43mm","STEGMANN Mamilla Marker, (Areola Cookie Cutter, Nipple Marker), Ø 42 mm, jaw: toothed",09-006-51-07,B-Braun
AD129R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 48mm","STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 48 mm, jaw: toothed",09-006-53-07,B-Braun
AN379R,"Kềm kẹp ống nội khí quản Magill, cho trẻ sơ sinh, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 150mm","MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for infants, straight, 150 mm (6""), jaw: serrated, fenestrated",19-301-15-07,B-Braun
AN380R,"Kềm kẹp ống nội khí quản Magill, cho trẻ em, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 200mm","MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for children, straight, 180 mm (7""), jaw: serrated, fenestrated",19-301-20-07,B-Braun
AN381R,"Kềm kẹp ống nội khí quản Magill, cho người lớn, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 250mm","MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for adults, straight, 230 mm (9""), jaw: serrated, fenestrated",19-303-25-07,B-Braun
AN705R,None,None,38-467-17-07,B-Braun
AN709R,"Kẹp tổ chức Collin thẳng, ngàm khuyết, có khía, hình oval, khớp vít, có khóa cài, dài 170mm","COLLIN Organ Grasping Forceps (Tongue Forceps), oval, straight, 170 mm (6 3/4""), jaw: serrated, fenestrated",13-278-17-07,B-Braun
AN710R,"Kẹp tổ chức Heywood-Smith, thẳng, ngàm có khía, hình oval, khuyết, khớp vít, có khóa cài, dài 200mm","HEYWOOD-SMITH Organ Grasping Forceps (Haemorrhoidal Forceps), oval, straight, 200 mm (7 7/8""), jaw: serrated, fenestrated",09-009-41-07,B-Braun
AN711R,"Kẹp tổ chức Heywood-Smith (Modif.), thẳng, ngàm có khía, hình oval, khuyết, khớp hộp, có khóa cài, dài 215mm","HEYWOOD-SMITH (MODIF.) Organ Grasping Forceps (Haemorrhoidal Forceps), oval, straight, 210 mm (8 1/4""), jaw: serrated, fenestrated",09-009-41-07,B-Braun
AN908R,"Kẹp ống dẫn Klinikum Berlin, loại khỏe, thẳng, ngàm có khía, khớp hộp, có khóa cài dài, dài 145mm","KLINIKUM BERLIN Tubing Clamp, straight, 145 mm (5 3/4""), heavy pattern, serrated, box lock",13-940-14-07,B-Braun
AN909R,"Kẹp ống dẫn, loại rất khỏe, thẳng, ngàm trơn, khớp hộp, dài 165mm","Tubing Clamp, straight, 165 mm (6 1/2""), heavy pattern, smooth, box lock",13-942-16-07,B-Braun
AN910R,"Kẹp ống dẫn, loại rất khỏe, thẳng, ngàm có khía, khớp hộp, dài 165mm","Tubing Clamp, straight, 165 mm (6 1/2""), heavy pattern, serrated, box lock",13-944-15-07,B-Braun
AN911R,"Kẹp ống dẫn, thẳng, ngàm có khía, có khóa dẫn đầu ngàm, dài 180mm","Tubing Clamp, straight, 180 mm (7""), guarded, serrated",13-944-18-07,B-Braun
AN912R,"Kẹp ống dẫn, thẳng, ngàm có khía, dài 180mm","Tubing Clamp, straight, 180 mm (7""), serrated",13-946-18-07,B-Braun
AN913R,"Kẹp ống dẫn, thẳng, ngàm khỏe hình răng bừa, có khía, dài 200mm","Tubing Clamp, straight, 205 mm (8""), heavy wedge jaw, fluted, serrated",13-944-20-07,B-Braun
BA210,"Dao mổ thép carbon dùng một lần, số 10, cán nhựa, hộp 10 chiếc",None,10-295-10-04,B-Braun
BA211,"Dao mổ thép carbon dùng một lần, số 11, cán nhựa, hộp 10 chiếc",None,10-295-11-04,B-Braun
BA212,"Dao mổ thép carbon dùng một lần, số 12, cán nhựa, hộp 10 chiếc",None,10-295-12-04,B-Braun
BA215,"Dao mổ thép carbon dùng một lần, số 15, cán nhựa, hộp 10 chiếc",None,10-295-15-04,B-Braun
BA215-1,"Cán dao mổ dùng một lần, số 15-1 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",None,99-999-99-99,B-Braun
BA215-C,"Cán dao mổ dùng một lần, số 15-C , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",None,99-999-99-99,B-Braun
BA218,"Dao mổ thép carbon dùng một lần, số 18, cán nhựa, hộp 10 chiếc",None,10-285-18-04,B-Braun
BA219,"Dao mổ thép carbon dùng một lần, số 19, cán nhựa, hộp 10 chiếc",None,99-999-99-99,B-Braun
BA220,"Dao mổ thép carbon dùng một lần, số 20, cán nhựa, hộp 10 chiếc",None,10-285-21-04,B-Braun
BA221,"Dao mổ thép carbon dùng một lần, số 21, cán nhựa, hộp 10 chiếc",None,10-285-21-04,B-Braun
BA222,"Dao mổ thép carbon dùng một lần, số 22, cán nhựa, hộp 10 chiếc",None,10-285-22-04,B-Braun
BA223,"Dao mổ thép carbon dùng một lần, số 23, cán nhựa, hộp 10 chiếc",None,10-285-23-04,B-Braun
BA224,"Dao mổ thép carbon dùng một lần, số 24, cán nhựa, hộp 10 chiếc",None,99-999-99-99,B-Braun
BA311SU,"Dao mổ, số 11, loại lớn, cán polymer,bằng thép không gỉ, dài 230mm, hộp 10 chiếc",None,99-999-99-99,B-Braun
BA323SU,"Dao mổ, số 23, loại lớn, cán polymer,bằng thép không gỉ, dài 230mm, hộp 10 chiếc",None,99-999-99-99,B-Braun
BA365,"Dao vi phẫu thép carbon, số 64, cán nhựa, màu xanh da trời, hộp 5 chiếc",None,99-999-99-99,B-Braun
BA451R,"Dao mổ Bergmann, số 1, dài 140mm","BERGMANN Scalpel, Fig. 1, 140 mm (5 1/2"")",99-999-99-99,B-Braun
BA501R,"Dao mổ, số 1, lưỡi bầu, dài 140mm",None,10-002-01-07,B-Braun
BA503R,"Dao mổ, số 3, lưỡi bầu, dài 150mm","Scalpel, Fig. 3, bellied, 150 mm (6"")",10-002-01-07,B-Braun
BA504R,"Dao mổ, số 4, lưỡi bầu, dài 150mm","Scalpel, Fig. 4, bellied, 150 mm (6"")",10-002-02-07,B-Braun
BA506R,"Dao mổ, số 6, lưỡi bầu, dài 165mm","Scalpel, Fig. 6, bellied, 165 mm (6 1/2"")",10-002-03-07,B-Braun
BA507R,"Dao mổ, số 7, lưỡi bầu, dài 165mm","Scalpel, Fig. 7, bellied, 165 mm (6 1/2"")",10-002-04-07,B-Braun
BA508R,"Dao mổ, số 8, lưỡi bầu, dài 170mm","Scalpel, Fig. 8, bellied, 170 mm (6 3/4"")",10-002-05-07,B-Braun
BA509R,"Dao mổ, số 9, lưỡi bầu, dài 170mm","Scalpel, Fig. 9, bellied, 175 mm (6 7/8"")",99-999-99-99,B-Braun
BA514R,"Dao mổ, số 14, mũi nhọn, dài 155mm","Scalpel, Fig. 14, pointed, 155 mm (6 1/8"")",10-002-09-07,B-Braun
BA604R,"Dao phẫu tích lỗ rò Simon, lưỡi hẹp, dài 200mm","SIMON Fistula Knife, 200 mm (7 7/8"")",99-999-99-99,B-Braun
BA605R,"Dao phẫu tích lỗ rò Simon, lưỡi vừa, dài 200mm","SIMON Fistula Knife, 205 mm (8"")",99-999-99-99,B-Braun
BA606R,"Dao phẫu tích lỗ rò Simon, lưỡi rộng, dài 200mm","SIMON Fistula Knife, 215 mm (8 1/2"")",99-999-99-99,B-Braun
BA640R,"Dao mổ màng não Halle, dài 210mm","HALLE Dura Knife, 210 mm (8 1/4"")",99-999-99-99,B-Braun
BA643R,"Dao mổ màng não Toennis, dài 190mm","TOENNIS Dura Knife, 190 mm (7 1/2"")",99-999-99-99,B-Braun
BA706R,"Tay dao bào da Schink, dài 300mm","SCHINK Dermatome, 300 mm (11 3/4""), used with BA708R, BA709R",10-880-00-07,B-Braun
BA708R,Lưỡi dao thay thế cho tay dao bào da Schink BA706R,"SCHINK Dermatome Spare Blade, used with BA706R",10-880-01-07,B-Braun
BA709R,Bản căng da,"SCHINK Plate, used with BA706R",10-880-02-07,B-Braun
BA710R,"Tay dao bào da Goulian, dài 180mm","GOULIAN Dermatome, 180 mm (7""), used with BA711R",99-999-99-99,B-Braun
BA711R,"Lưỡi dao thay thế cho tay dao bào da Goulian, hộp 50 chiếc","GOULIAN Dermatome Spare Blade, used with BA710R",99-999-99-99,B-Braun
BA712R,"Tay dao bào da Braithwaite không kèm lưỡi, dài 315mm","BRAITHWAITE Dermatome, 320 mm (12 1/2""), used with BA718R",99-999-99-99,B-Braun
BA713R,"Tay dao bào da Humby không kèm lưỡi, dài 365mm","HUMBY Dermatome, 350 mm (13 3/4""), used with BA714R",10-878-00-07,B-Braun
BA714R,"Lưỡi dao thay thế cho tay dao bào da BA713R, hộp 10 chiếc","HUMBY Dermatome Spare Blade, used with BA713R, sterile, disposable",10-878-01-07,B-Braun
BA715R,"Tay dao bào da Silver không kèm lưỡi, dài 190mm","SILVER Dermatome, 190 mm (7 1/2"")",10-882-19-07,B-Braun
BA716R,None,None,10-882-90-98,B-Braun
BA717R,"Tay dao bào da Cobbett không kèm lưỡi, dài 315mm","COBBETT Dermatome, 320 mm (12 1/2""), used with BA718R",99-999-99-99,B-Braun
BA718R,"Lưỡi dao thay thế cho tay dao bào da BA717R, hộp 10 chiếc","Dermatome Spare Blade, used with BA712R, BA717R, BA719R, sterile, disposable",99-999-99-99,B-Braun
BA719R,"Tay dao bào da Watson không kèm lưỡi, dài 300mm","WATSON Dermatome, 290 mm (11 1/2""), used with BA718R",99-999-99-99,B-Braun
BA810SU,"Dao mổ, số 10 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc","Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 10, Stainless Steel, sterile, disposable",99-999-99-99,B-Braun
BA811SU,"Dao mổ, số 11 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc","Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 11, Stainless Steel, sterile, disposable",99-999-99-99,B-Braun
BA815SU,"Dao mổ, số 15 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc","Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 15, Stainless Steel, sterile, disposable",99-999-99-99,B-Braun
BA820SU,"Dao mổ, số 20 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc","Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 20, Stainless Steel, sterile, disposable",99-999-99-99,B-Braun
BB045T,"Cán dao mổ Titan, tròn, dài 145mm","Scalpel Handle, round handle, micro, 145 mm (5 3/4"")",10-160-01-07,B-Braun
BB046R,"Cán dao mổ Titan, tròn, dài 135mm","Scalpel Handle, round handle, micro, 135 mm (5 1/4"")",10-160-01-07,B-Braun
BB048R,"Cán dao mổ Titan, tròn, dài 155mm","Scalpel Handle, round handle, micro, 155 mm (6 1/8"")",10-160-01-07,B-Braun
BB052R,"Cán dao mổ Caspar, tròn, dài 180mm","CASPAR Scalpel Handle, round handle, micro, 180 mm (7"")",09-007-80-07,B-Braun
BB053R,"Cán dao mổ Landolt, dáng lưỡi lê, cán vuông, dài 210mm","LANDOLT Scalpel Handle, square shank, micro, 210 mm (8 1/4""), bayonet-shaped",10-149-01-07,B-Braun
BB054R,"Cán dao mổ, tròn, dài 200mm","Scalpel Handle, round handle, micro, 200 mm (7 7/8"")",99-999-99-99,B-Braun
BB057R,"Cán dao mổ Landolt, tròn, dáng lưỡi lê, dài 250mm","LANDOLT Scalpel Handle, round handle, micro, 250 mm (9 3/4""), bayonet-shaped",10-149-02-07,B-Braun
BB060R,"Cán dao mổ nội soi, dài 330mm, đường kính 5mm","Scalpel Handle, round handle, micro, 450 mm (17 3/4"")",24-599-85-07,B-Braun
BB063R,"Cán dao mổ, tròn, dài 145mm","Scalpel Handle, round handle, blade size no. 3, 145 mm (5 3/4"")",10-146-03-07,B-Braun
BB068R,"Cán dao mổ Barron, số 3, dài 130mm","BARRON Scalpel Handle, blade size no. 3, 130 mm (5 1/8"")",10-140-03-07,B-Braun
BB070R,"Cán dao mổ, số 3, dài 155mm","Scalpel Handle, round handle, blade size no. 3, 155 mm (6 1/8"")",10-140-03-07,B-Braun
BB071R,"Cán dao mổ, số 3, hình lưỡi lê, dài 210mm","Scalpel Handle, round handle, No. 3, 210 mm (8 1/4""), bayonet-shaped",10-149-01-07,B-Braun
BB073R,"Cán dao mổ, số 3, dài 125mm","Scalpel Handle, No. 3, blade size no. 3, 125 mm (5"")",10-130-03-07,B-Braun
BB074R,"Cán dao mổ, số 3, có thước đo, dài 125mm","Scalpel Handle, No. 3, blade size no. 3, 125 mm (5""), graduated",10-130-05-07,B-Braun
BB075R,"Cán dao mổ, số 3L, loại dài, dài 210mm","Scalpel Handle, No. 3L, blade size no. 3, 210 mm (8 1/4""), long pattern",10-133-31-07,B-Braun
BB077R,"Cán dao mổ, số 7, dài 160mm","Scalpel Handle, No. 7, No. 5, blade size no. 3, 160 mm (6 1/4"")",10-137-07-07,B-Braun
BB078R,"Cán dao mổ, số 3, thẳng, loại dài, dài 225mm","Scalpel Handle, blade size no. 3, 225 mm (8 7/8""), long pattern",10-135-01-07,B-Braun
BB079R,"Cán dao mổ, số 3, gập góc, loại dài, dài 225mm","Scalpel Handle, 25 °, blade size no. 3, 225 mm (8 7/8""), angled, long pattern",10-133-35-07,B-Braun
BB080R,"Cán dao mổ, số 4, thẳng, dài 225mm","Scalpel Handle, blade size no. 4, 225 mm (8 7/8"")",99-999-99-99,B-Braun
BB084R,"Cán dao mổ, số 4, dài 135mm","Scalpel Handle, No. 4, blade size no. 4, 135 mm (5 1/4"")",10-100-04-07,B-Braun
BB085R,"Cán dao mổ, số 4L, dài 215mm","Scalpel Handle, No. 4L, blade size no. 4, 215 mm (8 1/2""), long pattern",10-104-41-07,B-Braun
BB087R,"Cán dao, số 4XL, dài 250mm","Scalpel Handle, No. 4XL, blade size no. 4, 250 mm (9 3/4"")",99-999-99-99,B-Braun
BB088R,"Cán dao mổ, số 8, loại nhỏ, dài 130mm","Scalpel Handle, No. 8, blade size no. 4, 135 mm (5 1/4"")",10-108-08-07,B-Braun
BB089R,"Cán dao mổ, số 9, bản rộng, dài 145mm","Scalpel Handle, No. 9, blade size no. 4, 145 mm (5 3/4"")",10-109-09-07,B-Braun
BB175R,"Cán dao mổ, số 3XL, dài 250mm","Scalpel Handle, No. 3XL, blade size no. 3, 250 mm (9 3/4""), extra long pattern",10-135-01-07,B-Braun
BB176R,"Cán dao mổ Barre, số 3XL, gập góc 12°, dài 250mm","BARRE Scalpel Handle, No. 3XL, 12 °, blade size no. 3, 250 mm (9 3/4""), left, angled, extra long pattern",99-999-99-99,B-Braun
BB177R,"Cán dao mổ Barre, số 3XL, dài 250mm","BARRE Scalpel Handle, No. 3XL, blade size no. 3, 250 mm (9 3/4""), left, extra long pattern",99-999-99-99,B-Braun
BB178R,"Cán dao mổ Barre, số 3XL, gập góc 25°, dài 250mm","BARRE Scalpel Handle, No. 3XL, 25 °, blade size no. 3, 250 mm (9 3/4""), left, extra long pattern, angled",99-999-99-99,B-Braun
BB331R,"Lưỡi dao vi phẫu màng não Yasargil, rộng 1,50mm, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB332R,"Lưỡi dao vi phẫu màng não Yasargil, rộng 2,50mm, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB361R,"Lưỡi dao vi phẫu, số 61, loại nhỏ, mũi hình đục, thép không gỉ, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB362R,"Lưỡi dao vi phẫu, số 62, loại lớn, mũi hình đục, thép không gỉ, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB363R,"Lưỡi dao vi phẫu, số 63, mũi mác, thép không gỉ",None,99-999-99-99,B-Braun
BB364R,"Lưỡi dao vi phẫu, số 64, mũi tròn, thép không gỉ, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB365R,"Lưỡi dao vi phẫu, số 65, thép không gỉ, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB367R,"Lưỡi dao vi phẫu, số 67, thép không gỉ, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB368R,"Lưỡi dao vi phẫu, số 68, hình liềm, thép không gỉ, hộp 10 chiếc",None,99-999-99-99,B-Braun
BB369R,"Lưỡi dao vi phẫu, số 69, mũi tròn, thép không gỉ",None,99-999-99-99,B-Braun
BB500,"Lưỡi dao mổ dạng móc, chất liệu thép carbon, hộp 100mm",None,99-999-99-99,B-Braun
BB510,"Lưỡi dao mổ tiệt trùng, số 10 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-10-04,B-Braun
BB511,"Lưỡi dao mổ tiệt trùng, số 11 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-11-04,B-Braun
BB512,"Lưỡi dao mổ tiệt trùng, số 12 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-12-04,B-Braun
BB513,"Lưỡi dao mổ tiệt trùng, số 13 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-13-04,B-Braun
BB515,"Lưỡi dao mổ tiệt trùng, số 15 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-15-04,B-Braun
BB515-1,"Cán dao mổ, số 15-1 , chất liệu thép carbon, hộp 100 chiếc",None,99-999-99-99,B-Braun
BB515-C,"Cán dao mổ, số 15-C , chất liệu thép carbon, hộp 100 chiếc",None,99-999-99-99,B-Braun
BB518,"Lưỡi dao mổ tiệt trùng, số 18 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-18-04,B-Braun
BB519,"Lưỡi dao mổ tiệt trùng, số 19 , chất liệu thép carbon, hộp 100 chiếc",None,99-999-99-99,B-Braun
BB520,"Lưỡi dao mổ tiệt trùng, số 20 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-20-04,B-Braun
BB521,"Lưỡi dao mổ tiệt trùng, số 21 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-21-04,B-Braun
BB522,"Lưỡi dao mổ tiệt trùng, số 22 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-22-04,B-Braun
BB523,"Lưỡi dao mổ tiệt trùng, số 23 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-23-04,B-Braun
BB524,"Lưỡi dao mổ tiệt trùng, số 24 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-22-04,B-Braun
BB525,"Lưỡi dao mổ tiệt trùng, số 25 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-34-04,B-Braun
BB536,"Lưỡi dao mổ tiệt trùng, số 36 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-36-04,B-Braun
BB540,"Lưỡi dao mổ tiệt trùng, số 40 , chất liệu thép carbon, hai mặt cắt, hộp 100 chiếc",None,99-999-99-99,B-Braun
BB542,"Lưỡi dao mổ tiệt trùng, số 42 , chất liệu thép carbon, hình liềm, hai mặt cắt, hộp 100 chiếc",None,10-156-12-04,B-Braun
BC004R,"Kéo phẫu tích, mảnh, thẳng, mũi nhọn/nhọn, cán lớn, dài 115mm","Delicate Scissors (Iris Scissors), straight, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings",11-630-11-07,B-Braun
BC005R,"Kéo phẫu tích, mảnh, cong, mũi nhọn/nhọn, cán lớn, dài 115mm","Delicate Scissors (Iris Scissors), curved, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings",11-631-11-07,B-Braun
BC006R,"Kéo phẫu tích Joseph, mảnh, thẳng, mũi nhọn/nhọn, cán lớn, dài 150mm","JOSEPH Dissecting Scissors, straight, delicate pattern, sharp/sharp, 150 mm (6""), square finger rings",11-350-14-07,B-Braun
BC007R,"Kéo phẫu tích Joseph, mảnh, cong, mũi nhọn/nhọn, cán lớn, dài 150mm","JOSEPH Dissecting Scissors, curved, delicate pattern, sharp/sharp, 150 mm (6""), square finger rings",11-351-14-07,B-Braun
BC008R,"Kéo phẫu tích Stevens, mảnh, thẳng, mũi nhọn/nhọn, cán lớn, dài 115mm","STEVENS Dissecting Scissors (Tenotomy Scissors), straight, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings",11-680-11-07,B-Braun
BC009R,"Kéo phẫu tích Stevens, mảnh, cong, mũi nhọn/nhọn, cán lớn, dài 115mm","STEVENS Dissecting Scissors (Tenotomy Scissors), curved, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings",11-681-11-07,B-Braun
BC010R,"Kéo phẫu tích Stevens, mảnh, thẳng, mũi tù/tù, cán lớn, dài 115mm","STEVENS Dissecting Scissors (Tenotomy Scissors), straight, delicate pattern, blunt/blunt, 115 mm (4 1/2""), square finger rings",11-682-11-07,B-Braun
BC011R,"Kéo phẫu tích Stevens, mảnh, cong, mũi tù/tù, cán lớn, dài 115mm","STEVENS Dissecting Scissors (Tenotomy Scissors), curved, delicate pattern, blunt/blunt, 115 mm (4 1/2""), square finger rings",11-683-11-07,B-Braun
BC015R,"Kéo phẫu tích Reynolds-Jameson, mảnh, cong, mũi tù/tù, cán lớn, dài 140mm","REYNOLDS-JAMESON Dissecting Scissors, curved, delicate pattern, blunt/blunt, 140 mm (5 1/2""), large rings",11-367-14-07,B-Braun
BC017R,"Kéo phẫu tích, mảnh, cong, mặt ngoài lưỡi hơi sắc, mũi nhọn/nhọn, cán lớn, dài 140mm","Delicate Scissors, curved, delicate pattern, sharp/sharp, 140 mm (5 1/2""), large rings",11-301-15-07,B-Braun
BC020R,"Kéo phẫu tích, mảnh, thẳng, mũi tù/tù, cán lớn, dài 115mm","Dissecting Scissors (Strabismus Scissors), straight, delicate pattern, blunt/blunt, 115 mm (4 1/2""), square finger rings",11-690-11-07,B-Braun
BC021R,"Kéo phẫu tích, mảnh, cong, mũi tù/tù, cán lớn, dài 115mm","Dissecting Scissors (Strabismus Scissors), curved, delicate pattern, blunt/blunt, 115 mm (4 1/2""), square finger rings",11-691-11-07,B-Braun
BC022R,"Kéo phẫu tích Metzenbaum, mảnh, thẳng, mũi tù/tù, cán lớn, dài 145mm","METZENBAUM (BABY) Dissecting Scissors, straight, delicate pattern, blunt/blunt, 145 mm (5 3/4""), square finger rings",11-250-14-07,B-Braun
BC023R,"Kéo phẫu tích Metzenbaum, mảnh, cong, mũi tù/tù, cán lớn, dài 145mm","METZENBAUM (BABY) Dissecting Scissors, curved, delicate pattern, blunt/blunt, 145 mm (5 3/4""), square finger rings",11-255-14-07,B-Braun
BC026R,"Kéo phẫu tích Ragnell, mảnh, thẳng, đầu dẹt, mũi dẹt tù, cán lớn, dài 135mm","RAGNELL Dissecting Scissors (Undermining Scissors), straight, delicate pattern, special flat blunt tip, 135 mm (5 1/4""), large rings",99-999-99-99,B-Braun
BC027R,"Kéo phẫu tích Ragnell, mảnh, cong, đầu dẹt, mũi dẹt tù, cán lớn, dài 135mm","RAGNELL Dissecting Scissors (Undermining Scissors), curved, delicate pattern, special flat blunt tip, 135 mm (5 1/4""), large rings",11-359-12-07,B-Braun
BC029R,"Kéo phẫu tích Ragnell, mảnh, cong, đầu dẹt, mũi dẹt tù, cán lớn, dài 150mm","RAGNELL Dissecting Scissors (Undermining Scissors), curved, delicate pattern, special flat blunt tip, 150 mm (6""), large rings",11-359-15-07,B-Braun
BC030R,"Kéo vi phẫu mạch máu, mảnh, thẳng, một đầu thăm, dài 120mm","Delicate Scissors (Vascular Scissors), straight, 1 blade probe pointed, 120 mm (4 3/4"")",11-420-11-07,B-Braun
BC033R,"Kéo phẫu tích, mảnh, gập góc bên, hai đầu thăm, dài 115mm","Delicate Scissors (Strabismus Scissors), angled to side, 2 blades probe pointed, 115 mm (4 1/2"")",09-000-04-07,B-Braun
BC034R,"Kéo vi phẫu mạch máu, mảnh, thẳng, một đầu thăm, dài 145mm","Delicate Scissors (Vascular Scissors), straight, 1 blade with probe tip, 145 mm (5 3/4"")",99-999-99-99,B-Braun
BC050R,"Kéo phẫu tích, mảnh, thẳng, mũi nhọn/nhọn, dài 110mm","Delicate Scissors (Iris Scissors), straight, sharp/sharp, 110 mm (4 1/4"")",11-630-11-07,B-Braun
BC056R,"Kéo phẫu tích, mảnh, thẳng, mũi nhọn/nhọn, dài 90mm","Delicate Scissors (Iris Scissors), straight, delicate pattern, sharp/sharp, 95 mm (3 3/4"")",54-378-10-07,B-Braun
BC057R,"Kéo phẫu tích, mảnh, cong, mũi nhọn/nhọn, dài 90mm","Delicate Scissors (Iris Scissors), curved, delicate pattern, sharp/sharp, 95 mm (3 3/4"")",54-379-10-07,B-Braun
BC058R,None,None,11-321-10-07,B-Braun
