code,viet,eng,alternative,brand
FM337T,"Kẹp vi phẫu mô, thẳng, cán lõm, đầu phẳng, ngàm có răng De Bakey, chất liệu Titanium, màu tím, dài 185mm","Atraumatic Micro Forceps, straight, 185 mm (7 1/4""), jaw width 1.20 mm, toothing DE BAKEY, round handle, titanium",12-590-18-09,B-Braun
FM338T,"Kẹp vi phẫu mô, thẳng, cán lõm, đầu phẳng, ngàm có răng De Bakey, chất liệu Titanium, màu tím, dài 210mm","Atraumatic Micro Forceps, straight, 210 mm (8 1/4""), jaw width 1.20 mm, toothing DE BAKEY, round handle, titanium",12-590-21-09,B-Braun
FM339T,"Kẹp vi phẫu mô, thẳng, cán lõm, đầu phẳng, ngàm có răng De Bakey, chất liệu Titanium, màu tím, dài 230mm","Atraumatic Micro Forceps, straight, 230 mm (9""), jaw width 1.20 mm, toothing DE BAKEY, round handle, titanium",12-590-21-09,B-Braun
FM388R,"Kẹp mang kim vi phẫu Durogrip TC, thẳng, cán tròn, màu vàng, có khóa cài, cán kiểu nhíp, bước răng 0,2mm, dài 180mm, dùng cho chỉ từ 6/0 - 10/0","DUROGRIP® Micro Needle Holder, TC, straight, 180 mm (7""), jaw: with 0.2 mm pitch of serration, round handle, with ratchet, for suture 6/0 - 10/0",20-010-18-07,B-Braun
FM390R,"Kẹp mang kim vi phẫu Durogrip TC, thẳng, cán tròn, màu vàng, có khóa cài, cán kiểu nhíp, bước răng 0,2mm, dài 200mm, dùng cho chỉ từ 6/0 - 10/0","DUROGRIP® Micro Needle Holder, TC, straight, 200 mm (7 7/8""), jaw: with 0.2 mm pitch of serration, round handle, with ratchet, for suture 6/0 - 10/0",20-010-21-07,B-Braun
FM392R,"Kẹp mang kim vi phẫu, thẳng, ngàm trơn, cán tròn, có khóa cài, cán kiểu nhíp, dài 230mm, dùng cho chỉ từ 9/0 - 11/0","Micro Needle Holder, straight, 230 mm (9""), jaw: smooth, round handle, with ratchet, for suture 9/0 - 11/0",20-032-23-07,B-Braun
FM398R,None,"Micro Needle Holder, straight, 230 mm (9""), jaw: smooth, round handle, with ratchet, for suture 9/0 - 11/0",20-032-21-07,B-Braun
FM430R,"Kéo vi phẫu, cong, lưỡi cực mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm","Micro Scissors, curved, blade length: 7 mm, ultra delicate blade, sharp/sharp, 165 mm (6 1/2""), flat handle",99-999-99-99,B-Braun
FM431R,"Kéo vi phẫu, gập góc 25°, lưỡi cực mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm","Micro Scissors, angled, 25 °, blade length: 7 mm, ultra delicate blade, sharp/sharp, 165 mm (6 1/2""), flat handle",11-400-25-07,B-Braun
FM432R,"Kéo vi phẫu, gập góc 45°, lưỡi cực mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm","Micro Scissors, angled, 45 °, blade length: 7 mm, ultra delicate blade, sharp/sharp, 165 mm (6 1/2""), flat handle",11-400-45-07,B-Braun
FM433R,"Kéo vi phẫu, gập góc 60°, lưỡi cực mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm","Micro Scissors, angled, 60 °, blade length: 7 mm, ultra delicate blade, sharp/sharp, 165 mm (6 1/2""), flat handle",11-400-60-07,B-Braun
FM434R,"Kéo vi phẫu, gập góc 90°, lưỡi cực mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm","Micro Scissors, angled, 90 °, blade length: 7 mm, ultra delicate blade, sharp/sharp, 165 mm (6 1/2""), flat handle",11-400-90-07,B-Braun
FM435R,"Kéo vi phẫu, gập góc 125°, lưỡi cực mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm","Micro Scissors, angled, 125 °, blade length: 7 mm, ultra delicate blade, sharp/sharp, 165 mm (6 1/2""), flat handle",11-401-00-07,B-Braun
